第二次评审标准分极差,复议后极差,专家一标准分,专家二标准分,专家三标准分,二阶段成绩
,,48.53,46.89,49.71,145.13
,,50.2,53.77,44.48,148.45
,,37.31,34.28,41.85,113.44
,,26.81,36.81,48.76,112.38
,,62.84,46.74,49.37,158.95
,,41.79,41.11,44.35,127.25
,,54.31,56.92,51.55,162.78
,,34.07,35.59,35.39,105.05
,,45.85,57.1,53.62,156.57
,,52.56,48.76,41.45,142.77
,,41.98,42.4,55,139.38
,,28.39,37.31,34.28,99.98
,,57.42,38.85,34.27,130.54
,,38.07,40.72,34.73,113.52
,,33.33,34.28,31.92,99.53
,,50.07,58.49,51.49,160.05
,,28.14,34.23,16.79,79.16
,,52.29,65.61,48.93,166.83
,,57.4,52.78,40.19,150.37
,,38.5,33.39,38.26,110.15
,,35.14,37.32,40.72,113.18
,,53.22,64.08,51.88,169.18
,,50.52,46.21,31.59,128.32
,,43.34,44.8,30.26,118.4
,,48.53,43.12,40.19,131.84
,,51.05,49.6,48.12,148.77
,,53.37,57,54.32,164.69
,,17.89,40.85,33.05,91.79
,,45.27,48.88,50.42,144.57
,,45.1,41.93,46.96,133.99
,,34.98,47.2,36.82,119
,,48.87,50.32,48.56,147.75
,,46.24,35.53,43.66,125.43
,,45.27,44.4,44.74,134.41
,,37.55,42.72,41.19,121.46
,,45.1,37.18,38.25,120.53
,,36.08,35.13,35.68,106.89
,,39.72,47.96,42.35,130.03
,,34.69,36,34.98,105.67
,,54.03,47.21,56.29,157.53
,,46.88,48.1,44.05,139.03
,,42.99,23.46,47.16,113.61
,,48.88,45,38.27,132.15
,,51.74,52.42,42.01,146.17
,,48.87,54.35,58.37,161.59
,,42.02,50.02,57.11,149.15
,,44.47,25,46.53,116
,,42.02,45.59,35.38,122.99
,,46.52,47.59,52.44,146.55
,,54.09,52.68,56.67,163.44
,,48.54,37.92,52.16,138.62
,,57.4,51.75,56.33,165.48
,,44.67,50.32,53.46,148.45
,,54.03,57.65,48.41,160.09
,,38.37,53.01,48.56,139.94
,,50.43,59.46,47.34,157.23
,,38.37,38.89,43.66,120.92
,,44.67,52.34,58.37,155.38
,,56.15,53.81,46.81,156.77
,,50.07,58,61.11,169.18
,,51.27,48.66,50.98,150.91
,,45.27,46.16,47.8,139.23
,,60.1,54.72,53.48,168.3
,,48.98,43.93,44.62,137.53
,,46.04,42.93,35.38,124.35
,,43.83,23.46,30.84,98.13
,,49.59,45.68,49.48,144.75
,,38.76,37.74,37.37,113.87
,,52.64,60.04,57.22,169.9
,,44.24,58.03,48.26,150.53
,,48.01,53.46,58.02,159.49
,,48.53,59.65,53.73,161.91
,,48.38,55.2,49.33,152.91
,,52.39,49.94,49.3,151.63
,,49.34,43.7,51.05,144.09
,,56.95,44.26,55,156.21
,,44.83,46.41,43.3,134.54
,,46.52,52.56,32.03,131.11
,,53.63,56.41,50.09,160.13
,,57.69,44.31,58.52,160.52
,,29.23,34.15,32.07,95.45
,,29.23,34.09,26.83,90.15
,,53.82,45.96,53.96,153.74
,,57.61,51.11,45.94,154.66
,,43.65,48.62,42.69,134.96
,,59.01,38.15,50.02,147.18
,,45.6,38.24,22.64,106.48
,,60.66,42.69,49.37,152.72
,,47.29,43.04,47.88,138.21
,,35,57.09,51.8,143.89
,,59.16,39.75,54.24,153.15
,,48.86,47.61,66.09,162.56
,,62.73,59.86,50.79,173.38
,,41.3,38.64,37.32,117.26
,,40.99,49.09,45.32,135.4
,,44.72,38.03,49.94,132.69
,,52.47,50.79,53.39,156.65
,,48.37,45.42,45.85,139.64
,,37.21,42.93,41.41,121.55
,,49.34,50.97,55.6,155.91
,,45.05,44.29,45.61,134.95
,,62.8,48.07,55.36,166.23
,,50.52,49.04,48.75,148.31
,,42.88,49.38,43.09,135.35
,,34.13,35.02,38.37,107.52
,,49.28,52.23,52.48,153.99
,,54.93,49.6,52.15,156.68
,,53.71,56.88,60.9,171.49
,,47.72,65.87,49.46,163.05
,,50.78,42.96,44.36,138.1
,,38.37,36.87,43.66,118.9
,,38.82,42.93,42.03,123.78
,,42.99,36.03,37.37,116.39
,,46.37,52.02,45.2,143.59
,,48.87,48.98,43.66,141.51
,,42.24,45.58,45.97,133.79
,,54.07,48.59,45.21,147.87
,,44.53,41,47.55,133.08
,,39.72,57.02,44.06,140.8
,,38.35,48.66,42.82,129.83
,,52.63,59.31,53.95,165.89
,,54.09,61.09,41.16,156.34
,,38.37,48.3,53.46,140.13
,,32.92,33.76,34.66,101.34
,,51.69,59.46,47.8,158.95
,,46.88,49.46,52.76,149.1
,,49.79,48.56,53.94,152.29
,,38.37,42.25,33.85,114.47
,,45.52,49.06,48.95,143.53
,,54.11,48.98,43.66,146.75
,,34.98,49.44,43.32,127.74
,,32.8,35.52,35.44,103.76
,,48.54,42.7,45.05,136.29
,,49.77,44.94,49.79,144.5
,,48.54,49.89,41.85,140.28
,,52.21,49.25,49.48,150.94
,,41.49,41.96,43.48,126.93
,,46.73,42.49,54,143.22
,,24.64,35.14,43.3,103.08
,,51.02,42.69,50.52,144.23
,,44.68,51.16,49.99,145.83
,,32.74,30.78,31.59,95.11
,,47.72,53.45,43.55,144.72
,,48.86,40.01,53.62,142.49
,,59.8,55.82,52.23,167.85
,,53.82,45.96,26.81,126.59
,,45.53,36.6,34.17,116.3
,,47.79,49.28,53.08,150.15
,,53.27,60.15,45.77,159.19
,,43.15,55.63,40.71,139.49
,,54.52,52.75,52.05,159.32
,,48.04,47.08,42.48,137.6
,,57.09,26.81,55.92,139.82
,,41.16,34.15,42.89,118.2
,,59.01,48.46,48.47,155.94
,,48.53,40.83,44.34,133.7
,,37.08,48.54,44.72,130.34
,,48.77,44.26,46.69,139.72
,,56.27,50.56,48.88,155.71
,,53.63,50.03,48.04,151.7
,,53.38,45.77,45.41,144.56
,,55.54,50.17,49.49,155.2
,,43.24,47.29,57.63,148.16
,,54.09,50.51,45.74,150.34
,,32.8,35.52,37.73,106.05
,,46.51,25,51.72,123.23
,,64.42,44.92,54.94,164.28
,,21.2,32.19,25.82,79.21
,,45.39,39.35,40.02,124.76
,,47.21,45.17,41.28,133.66
,,60.72,57.84,41.9,160.46
,,29.52,33.87,33.92,97.31
,,38.37,32.84,38.76,109.97
,,51.69,50.37,52.37,154.43
,,53.9,48.34,49.48,151.72
,,28.96,29.85,32.19,91
,,36.99,48.66,43.57,129.22
,,51.69,43.18,37.73,132.6
,,46.04,47.36,47.8,141.2
,,50.42,40.48,38.19,129.09
,,45.1,37.18,37.52,119.8
,,43.04,52.73,51.04,146.81
,,57.28,59.06,56.69,173.03
,,53,55.04,51.13,159.17
,,41.07,50.4,46.99,138.46
,,44.68,46.31,43.89,134.88
,,50.96,58.37,53.19,162.52
,,47.21,47.45,42.59,137.25
,,46.75,49.05,51.97,147.77
,,33.98,38.93,35.16,108.07
,,46.9,35.88,42.35,125.13
,,56.7,53.39,53.21,163.3
,,48.87,47.63,48.56,145.06
,,52.34,55.27,44.94,152.55
,,50.46,53.56,48.05,152.07
,,49.77,54,62.37,166.14
,,50.3,50.4,46.99,147.69
,,47.21,47.45,60.21,154.87
,,38.37,48.98,38.76,126.11
,,51.69,50.37,54.66,156.72
,,54.56,46.35,53.21,154.12
,,47.19,52.8,50.98,150.97
,,30.88,33.87,33.92,98.67
,,49.23,48.66,48.76,146.65
,,38,34.07,35.38,107.45
,,49.75,51.45,53.03,154.23
,,65.87,51.8,48.76,166.43
,,57.57,45.4,50.79,153.76
,,34.12,47.65,49.13,130.9
,,40.1,53.68,45.33,139.11
,,45.2,55.17,46.54,146.91
,,44.8,51.18,49.28,145.26
,,59.65,46.74,45.35,151.74
,,35,34.23,43.04,112.27
,,51.53,55.89,56.21,163.63
,,54.32,52.23,35.69,142.24
,,48.04,47.29,40.13,135.46
,,49.04,46.93,51.9,147.87
,,43.15,30.01,33.58,106.74
,,51.76,51.75,53.73,157.24
,,52.56,37.08,51.75,141.39
,,62.44,47.29,51.8,161.53
,,53.45,59.29,54.96,167.7
,,49.32,51.83,50.79,151.94
,,53.71,53.16,49.13,156
,,33.03,40.86,45.29,119.18
,,44.83,52.56,48.54,145.93
,,54.98,56.4,53.68,165.06
,,26.81,45.33,53.05,125.19
,,48.32,56.38,48.75,153.45
,,40.04,41.98,39.64,121.66
,,48.55,45.33,46.55,140.43
,,33.39,34.17,20.36,87.92
,,54.07,51.05,49.37,154.49
,,50.03,53.27,46.51,149.81
,,36.34,34.29,36.88,107.51
,,60.62,59.82,51.11,171.55
,,52.56,50.78,59.03,162.37
,,43.09,48.24,35.69,127.02
,,49.44,62.21,58.47,170.12
,,57.89,55.54,48.86,162.29
,,50.14,51.57,50.68,152.39
,,41.5,45.02,38.02,124.54
,,48.04,60.36,45.96,154.36
,,47.95,52.39,38.02,138.36
,,50.33,47.59,39.57,137.49
,,52.29,43.22,49.64,145.15
,,45.29,46.74,66.01,158.04
,,52.15,53.82,48.88,154.85
,,28.14,20.97,25.82,74.93
,,44.69,50.68,47.38,142.75
,,47.29,46.47,47.33,141.09
,,40.63,37.18,38.97,116.78
,,49.05,60.04,48.07,157.16
,,40.13,48.88,49,138.01
,,48.33,50.98,48.64,147.95
,,50.07,38.5,58,146.57
,,49.05,47.96,25.18,122.19
,,44.03,48.33,51.04,143.4
,,45.02,50.53,51.74,147.29
,,50.59,64.84,53.92,169.35
,,36.98,38.32,45.48,120.78
,,57.26,48.98,53.46,159.7
,,46.88,52.87,47.68,147.43
,,33.87,26.83,33,93.7
,,52.77,57.45,48.15,158.37
,,50.07,45.59,55.78,151.44
,,34.16,38.32,40.15,112.63
,,46.04,47.36,56.67,150.07
,,34.98,41.6,39.05,115.63
,,49.91,52.21,58.4,160.52
,,47.78,49.46,43.33,140.57
,,52.56,48.48,55.74,156.78
,,41.59,37.14,34.29,113.02
,,59.01,43.94,47.5,150.45
,,38.5,36.57,38.64,113.71
,,44.93,45.94,44.48,135.35
,,47.88,58.06,47.51,153.45
,,55.26,54.84,54.27,164.37
,,28.39,24.13,34.28,86.8
,,50.14,49.18,57.76,157.08
,,57.64,48.13,59.65,165.42
,,39.04,41.16,38.8,119
,,39.53,64.52,38.8,142.85
,,48.87,46.87,39.14,134.88
,,31.81,38.89,32.96,103.66
,,48.04,48.46,57.63,154.13
,,40.71,44.68,47.77,133.16
,,57.26,51.05,51.77,160.08
,,54.75,50.17,51.96,156.88
,,44.72,56.63,46.3,147.65
,,41.79,44.35,47.6,133.74
,,47.72,58.27,50.85,156.84
,,50.33,50.17,41.12,141.62
,,44.51,43.37,47.5,135.38
,,31.19,35.02,38.02,104.23
,,56.95,58.52,49.46,164.93
,,51.43,53.77,53.8,159
,,48.29,48.77,48.77,145.83
,,48.04,50.56,48.88,147.48
,,41.6,53.96,44.21,139.77
,,36.45,26.06,34.28,96.79
,,57.09,57.63,54.9,169.62
,,48.81,46,52.75,147.56
,,52.56,55.6,56.42,164.58
,,29.52,60.49,22.8,112.81
,,50.07,51.79,54.9,156.76
,,42.02,38.5,48.69,129.21
,,62.5,26.15,32.93,121.58
,,55.82,48.1,51.31,155.23
,,39.8,35.58,40.15,115.53
,,38.37,32.17,33.85,104.39
,,58.15,45.52,45.51,149.18
,,49.59,53.77,52.59,155.95
,,53,48.88,47.58,149.46
,,46.04,56.23,50.91,153.18
,,44.62,49.72,46.99,141.33
,,42.02,47.36,53.12,142.5
,,38.67,35.58,46.81,121.06
,,45.1,46.73,45.2,137.03
,,47.21,43.45,43.89,134.55
,,43.79,59.31,50.98,154.08
,,53,48.32,37.63,138.95
,,49.05,50.98,57.22,157.25
,,47.19,51.62,47.27,146.08
,,50.48,47.46,54.44,152.38
,,53,44.96,44.74,142.7
,,44.68,48.02,41.93,134.63
,,38.11,35.58,40.15,113.84
,,55.34,55.17,50.24,160.75
,,51.99,61.31,48.04,161.34
,,45.1,34.69,37.44,117.23
,,53,46.08,49,148.08
,,46.88,46.73,48.41,142.02
,,45.1,39.91,46.96,131.97
,,38.37,42.25,48.56,129.18
,,49.56,46.73,49.86,146.15
,,48.55,52.21,43.57,144.33
,,37.54,49.25,43.48,130.27
,,38.37,46.02,53.46,137.85
,,44.62,48.37,42.63,135.62
,,49.77,41.92,49.79,141.48
,,46.04,56.23,58.45,160.72
,,52.24,50.14,46.96,149.34
,,56.66,51.38,47.11,155.15
,,40.26,50.78,52.23,143.27
,,28,30.01,32.96,90.97
,,55.78,55.63,54.93,166.34
,,48.46,50.78,57.98,157.22
,,52.41,52.56,53.77,158.74
,,40.63,40.26,33.41,114.3
,,55.78,48.46,52.59,156.83
,,54.93,42.31,53.16,150.4
,,57.46,45.38,47.79,150.63
,,51.57,45.38,56.76,153.71
,,45.91,57.42,45.91,149.24
,,51.8,47.59,49.97,149.36
,,48.77,42.83,52.23,143.83
,,36.66,52.74,39.83,129.23
,,53.27,51.96,49.64,154.87
,,56.87,56.37,44.26,157.5
,,45.42,44.31,55.83,145.56
,,50.22,52.34,46.3,148.86
,,49.53,49.64,46.41,145.58
,,37.31,34.28,31.92,103.51
,,50.56,54.72,53.96,159.24
,,36.34,25.82,34.29,96.45
,,38.93,29.98,25.68,94.59
,,48.53,43.7,49.04,141.27
,,44.05,43.34,44.43,131.82
,,53.25,55.63,46.93,155.81
,,48.86,43.55,48.77,141.18
,,48.32,54.18,54.41,156.91
,,46.92,38.11,37.64,122.67
,,54.07,44.34,54.42,152.83
,,44.51,46.25,47.54,138.3
,,47.78,51.27,45.34,144.39
,,40.76,46.94,38.75,126.45
,,34.71,37.14,34.29,106.14
,,43.4,51.67,49.63,144.7
,,36.34,32.74,34.29,103.37
,,50.97,40.83,48.98,140.78
,,26.32,30.01,30.66,86.99
,,54.93,50.53,53.48,158.94
,,38.37,42.25,48.56,129.18
,,57.35,50.88,46.5,154.73
,,45.1,37.86,38.25,121.21
,,37.2,46.53,45.51,129.24
,,46.04,47.36,54.45,147.85
,,46.24,35.53,48.56,130.33
,,36.31,33.87,36.89,107.07
,,38,38.5,41.15,117.65
,,44.47,51.03,44.31,139.81
,,45.39,47.49,45.51,138.39
,,55.59,54.72,49.48,159.79
,,53,60.08,45.45,158.53
,,53.46,46.04,56.23,155.73
,,50.42,44.96,45.45,140.83
,,49.77,60.04,49.21,159.02
,,43.79,55.76,49.42,148.97
,,57.44,60.06,55.23,172.73
,,39.24,35.58,46.81,121.63
,,55.66,50.88,49.11,155.65
,,50.07,45.59,56.23,151.89
,,42.7,47.76,42.61,133.07
,,33.6,32.93,34.29,100.82
,,50.07,42.93,37.16,130.16
,,50.96,43.6,43.66,138.22
,,61.66,51.75,51.97,165.38
,,44.53,49.06,51.74,145.33
,,46.04,49.13,55.78,150.95
,,38.37,40.91,38.76,118.04
,,49.05,54,56.65,159.7
,,37.55,56.72,46.87,141.14
,,54.46,47.43,48.15,150.04
,,57.4,53.09,49.48,159.97
,,46.04,47.36,53.57,146.97
,,48.66,35.29,45.48,129.43
,,49.39,58.37,53.19,160.95
,,35.09,32.93,34.29,102.31
,,52.24,46.73,54.21,153.18
,,45.1,43.32,39.7,128.12
,,54.32,47.82,53.27,155.41
,,49.88,46.04,45.74,141.66
,,57.09,48.88,48.81,154.78
,,32.54,27.3,23.26,83.1
,,26.81,32.54,48.76,108.11
,,34.76,34.27,16.9,85.93
,,60.65,59.42,45.47,165.54
,,33.39,34.17,34.27,101.83
,,21.36,25.84,21.99,69.19
,,40.56,46.54,49.42,136.52
,,39.82,34.09,42.89,116.8
,,49.94,52.82,49.46,152.22
,,34.23,45.96,45.53,125.72
,,49.83,53,51.4,154.23
,,50.52,65.46,55.8,171.78
,,48.04,50.52,45.64,144.2
,,41.5,49.23,41.41,132.14
,,28.39,34.71,34.09,97.19
,,50.86,57.54,43.55,151.95
,,28.39,35.72,34.28,98.39
,,45.29,47.29,45.96,138.54
,,33.39,34.17,23.83,91.39
,,20.51,30.53,34.45,85.49
,,53.77,47.59,50.09,151.45
,,40.76,43.04,45.53,129.33
,,54.93,53.58,51.22,159.73
,,36.34,32.74,31.59,100.67
,,33.03,38.28,45.89,117.2
,,43.19,30.88,32.35,106.42
,,39.88,38.02,37.36,115.26
,,53.82,48.88,47.88,150.58
,,49.16,50.47,53.25,152.88
,,54.14,61.04,44.26,159.44
,,58.03,56.2,47.38,161.61
,,60.93,32.17,14.24,107.34
,,50.07,51.79,53.12,154.98
,,18.29,26.26,25.18,69.73
,,53.33,50.16,46.81,150.3
,,49.8,46.53,46.88,143.21
,,37.92,39.56,47.17,124.65
,,32.92,33.87,35.41,102.2
,,42.06,35.58,36.82,114.46
,,61.57,44.6,47.81,153.98
,,46.9,49.77,45.21,141.88
,,33.87,26.83,33,93.7
,,54.03,48.54,47.49,150.06
,,44.68,42.88,43.89,131.45
,,47.85,46.08,41.9,135.83
,,38.37,40.91,43.66,122.94
,,49.77,60.04,55.12,164.93
,,51.69,49.89,47.34,148.92
,,35.94,45.58,34.98,116.5
,,46.04,56.23,54.01,156.28
,,56.35,47.27,49.42,153.04
,,42.49,47.7,38.27,128.46
,,56.23,57.02,49.79,163.04
,,57.35,53.16,56.95,167.46
,,41.75,49.25,46.53,137.53
,,50.49,43.93,56.63,151.05
,,47.51,51.26,53.83,152.6
,,29.65,35.58,30.15,95.38
,,42.02,43.82,36.71,122.55
,,54.09,50.91,37.16,142.16
,,42.7,48.32,43.32,134.34
,,45.1,43.32,52.04,140.46
,,37.67,36.83,39.86,114.36
,,47.29,48.3,43.66,139.25
,,54.07,53.16,51.82,159.05
,,50.07,45.59,51.79,147.45
,,53.85,49.05,53.84,156.74
,,50.43,47.97,48.71,147.11
,,49.59,47.03,59.44,156.06
,,50.07,50.91,56.23,157.21
,,50.51,55.63,62.14,168.28
,,38.35,36.83,37.63,112.81
,,54.09,49.48,60.66,164.23
,,42.43,37.55,47.2,127.18
,,54.03,51.51,46.96,152.5
,,45.02,50.53,47.55,143.1
,,52.43,52.42,55.7,160.55
,,58.41,55.63,49.48,163.52
,,50.46,44.68,50.58,145.72
,,32.17,36.1,35.88,104.15
,,49.05,47.96,62.37,159.38
,,45.02,53.14,52.44,150.6
,,27.56,30.01,26.09,83.66
,,49.83,50.17,60.2,160.2
,,55.73,42.45,53.51,151.69
,,49.28,46.55,48.05,143.88
,,42.1,37.64,48.46,128.2
,,48.77,57.1,53.62,159.49
,,47.88,51.42,48.76,148.06
,,56.4,56.9,58.43,171.73
,,52.74,45.77,61,159.51
,,38.5,33.39,34.81,106.7
,,50.78,60.93,49.39,161.1
,,41.47,48.71,52.59,142.77
,,37.08,37.62,45.33,120.03
,,53.82,57.47,39.81,151.1
,,38.5,32.74,43,114.24
,,51.76,49.82,51.05,152.63
,,49.32,50.58,53.44,153.34
,,53.96,51.83,54.84,160.63
,,51.67,49.71,51.11,152.49
,,40.63,51.38,48.48,140.49
,,40.56,47.72,48.61,136.89
,,44.49,50.79,44.2,139.48
,,47.01,50.79,51.09,148.89
,,38.5,33.39,35.5,107.39
,,29.84,30.26,22.64,82.74
,,52.64,66.08,48.07,166.79
,,55.27,51.75,55.7,162.72
,,50.48,50.88,56.79,158.15
,,46.9,47.96,45.21,140.07
,,42.49,49.05,42.01,133.55
,,42.02,38.5,41.59,122.11
,,32.8,28.34,24.48,85.62
,,38.94,43.65,42.01,124.6
,,49.77,50.98,50.36,151.11
,,41.75,48.66,39.86,130.27
,,56.73,55.03,53.46,165.22
,,46.04,38.5,53.12,137.66
,,48.17,59.84,45.12,153.13
,,50.07,47.36,59.78,157.21
,,49.8,52.28,46.88,148.96
,,45.39,39.83,42.31,127.53
,,37.55,42.72,37.63,117.9
,,53.46,52.44,50.07,155.97
,,50.49,51.26,48.95,150.7
,,39.72,44.94,52.42,137.08
,,36.31,39.79,39.12,115.22
,,50.49,51.26,56.63,158.38
,,45.02,53.46,55.23,153.71
,,50.99,51.99,58.72,161.7
,,46.9,60.04,48.07,155.01
,,50.48,47.96,49.79,148.23
,,50.07,45.59,36.27,131.93
,,34.98,46.64,38.34,119.96
,,57.78,48.98,38.76,145.52
,,45.1,48.1,39.7,132.9
,,45.1,37.18,36.79,119.07
,,32.47,35.58,40.15,108.2
,,45.39,35.52,45.05,125.96
,,34.69,39.61,35.16,109.46
,,43.31,38.9,45.21,127.42
,,37.55,44.96,40.48,122.99
,,55.02,48.34,46.81,150.17
,,58.15,48.32,51.84,158.31
,,51.27,60.14,57.23,168.64
,,48.87,50.32,53.46,152.65
,,47.21,51.45,50.42,149.08
,,34.54,32.03,34.1,100.67
,,42.02,51.79,51.79,145.6
,,40.55,46.13,48.25,134.93
,,68.44,44.4,49,161.84
,,49.75,57.73,56.95,164.43
,,46.04,42.04,48.69,136.77
,,54.03,46.73,45.5,146.26
,,39.65,32.87,35.16,107.68
,,41.05,48.33,49.65,139.03
,,18.19,29.85,33.76,81.8
,,47.21,50.31,53.68,151.2
,,42.04,48.95,51.75,142.74
,,52.63,49.84,49.42,151.89
,,48.55,51.62,48.76,148.93
,,55.95,49.04,49.38,154.37
,,38.94,48.46,43.3,130.7
,,56.38,53.27,59.64,169.29
,,53.45,53.44,52.92,159.81
,,49.76,53.68,44.72,148.16
,,51.28,47.82,53.48,152.58
,,58.21,51.11,59.95,169.27
,,28.17,30.52,29.09,87.78
,,48.29,45.85,48.77,142.91
,,34.71,37.14,34.29,106.14
,,34.09,34.25,38.02,106.36
,,46.52,54.93,47.11,148.56
,,49.88,40.26,55.82,145.96
,,52.42,48.86,55.51,156.79
,,52.63,50.79,51.09,154.51
,,38.5,34.12,28.54,101.16
,,24.5,37.32,30.26,92.08
,,38.5,39.64,43,121.14
,,47.61,54.96,52.23,154.8
,,57.09,45.96,46.94,149.99
,,36.34,39.89,35.17,111.4
,,49.16,56.89,44.11,150.16
,,41.6,42.31,51.49,135.4
,,48.2,50.51,42.31,141.02
,,57.4,37.31,44.34,139.05
,,33.85,42.02,47.36,123.23
,,49.5,42.46,41.97,133.93
,,49.77,60.04,49.21,159.02
,,58.31,50.99,48.56,157.86
,,42.24,65.69,46.62,154.55
,,39.72,32.86,36.63,109.21
,,48.54,55.63,41.85,146.02
,,47.69,35.58,49.48,132.75
,,44.47,47.85,44.4,136.72
,,51.69,47.97,46.42,146.08
,,37.52,49.05,42.01,128.58
,,36.31,36.83,40.6,113.74
,,38.37,32.84,28.95,100.16
,,49.77,44.94,45.78,140.49
,,41.75,48.66,43.57,133.98
,,42.7,24.81,72.44,139.95
,,50.07,49.13,46.03,145.23
,,33.6,33.67,34.29,101.56
,,50.42,48.88,46.87,146.17
,,54.03,50.14,54.21,158.38
,,50.51,8.25,30.15,88.91
,,50.42,50.08,62.5,163
,,46.57,44.69,50.15,141.41
,,45.39,38.87,45.05,129.31
,,42.7,43.28,48.29,134.27
,,55.46,52.73,53.14,161.33
,,50.07,47.36,55.78,153.21
,,42.02,38.5,35.38,115.9
,,49.59,45.68,46.36,141.63
,,28.96,29.85,33.76,92.57
,,53,48.32,59.66,160.98
,,54.96,51.99,57.32,164.27
,,46.9,50.98,62.37,160.25
,,34.98,33.76,34.79,103.53
,,50.48,44.94,49.21,144.63
,,46.04,47.36,52.68,146.08
,,45.37,45.52,45.85,136.74
,,45.27,43.84,48.29,137.4
,,36.83,35.29,35.41,107.53
,,43.7,34.67,29.91,108.28
,,59.75,61.62,51.54,172.91
,,41.07,43.78,45.4,130.25
,,40.1,34.41,38.02,112.53
,,39.04,41.58,38.02,118.64
,,28.83,14.63,22.62,66.08
,,54.59,50.53,54.96,160.08
,,33.83,27.3,32.35,93.48
,,37.06,41.59,41.22,119.87
,,51.57,50.51,50.49,152.57
,,41.79,38.07,36.32,116.18
,,53.82,54.9,48.76,157.48
,,43.24,47.08,43.73,134.05
,,54.67,53.71,41.9,150.28
,,48.04,51.8,59.58,159.42
,,45.2,54.24,50.79,150.23
,,47.39,47.04,43.44,137.87
,,41.54,40.72,42.93,125.19
,,57.09,49.28,55.92,162.29
,,50.5,51.98,49.5,151.98
,,39.12,34.48,41.56,115.16
,,49.16,44.04,45.94,139.14
,,40.63,45.38,47.04,133.05
,,45.6,50.34,43.1,139.04
,,33.36,30.53,37.32,101.21
,,50.14,55.6,54.4,160.14
,,27.26,34.32,31.24,92.82
,,43.31,54,42.92,140.23
,,38.37,45.61,38.76,122.74
,,18.29,36.49,43.33,98.11
,,58.93,54.92,59.42,173.27
,,46.9,50.98,25.18,123.06
,,61.79,58.36,49.48,169.63
,,57.84,56.54,46.81,161.19
,,36.16,39.91,52.76,128.83
,,42.99,48.02,51.72,142.73
,,60.66,58.36,50.15,169.17
,,54.46,55.66,53.14,163.26
,,37.55,44.96,39.05,121.56
,,38.9,50.32,53.46,142.68
,,42.7,46.64,55.39,144.73
,,52.24,43.32,55.66,151.22
,,36.6,36.59,35.58,108.77
,,49.91,59.73,48.56,158.2
,,54.07,60.04,42.92,157.03
,,54.03,42.24,48.45,144.72
,,32.17,39.91,33.98,106.06
,,46.88,46.05,48.41,141.34
,,45.1,43.32,43.33,131.75
,,46.88,41.27,49.13,137.28
,,46.9,44.94,52.07,143.91
,,50.42,50,47.58,148
,,42.14,23.46,30.84,96.44
,,53.33,57.45,53.48,164.26
,,49.56,43.32,38.25,131.13
,,25.93,25.2,28.73,79.86
,,51.95,55.76,57.66,165.37
,,47.85,59.52,47.58,154.95
,,28.96,29.85,42.35,101.16
,,60.1,55.17,65.82,181.09
,,44.68,50.88,44.71,140.27
,,45.27,42.16,43.32,130.75
,,38.37,35.53,37.17,111.07
,,55.58,55.33,50.17,161.08
,,51.01,45.68,50.72,147.41
,,50.3,23.82,49.48,123.6
,,35.39,35.56,35.16,106.11
,,53.14,49.05,53.84,156.03
,,51.48,47.96,51.97,151.41
,,42.49,40.96,43.25,126.7
,,46.04,49.05,43.87,138.96
,,38.23,38.93,40.14,117.3
,,41.78,39.61,42.63,124.02
,,41.78,42.31,37.02,121.11
,,35.39,35.56,35.16,106.11
,,46.75,54.53,49.05,150.33
,,45.33,46.35,46.99,138.67
,,43.91,51.75,42.63,138.29
,,47.72,51.11,47.38,146.21
,,33.05,40.26,37.15,110.46
,,56.62,56.66,47.04,160.32
,,47.26,54.82,59.05,161.13
,,26.95,65.6,57.92,150.47
,,51.43,41.06,56.41,148.9
,,41.59,42.81,39.95,124.35
,,45.02,49.6,50.64,145.26
,,48.46,50.74,58,157.2
,,55.23,55.78,51.39,162.4
,,40.49,27.69,43.04,111.22
,,46.52,48.54,51.22,146.28
,,36.34,33.84,31.59,101.77
,,42.93,55.67,45.3,143.9
,,38.5,30.52,32.05,101.07
,,42.56,42.93,41.41,126.9
,,48.32,62.43,58.45,169.2
,,43.15,35.14,45.74,124.03
,,26.81,44.72,53.77,125.3
,,45.29,37.64,41.85,124.78
,,56.64,42.69,48.22,147.55
,,45.29,20.97,37.14,103.4
,,46.95,57.36,48.1,152.41
,,43.42,42.64,38.69,124.75
,,53.25,40.26,52.27,145.78
,,35.02,27.14,40.35,102.51
,,48.46,39.41,39.29,127.16
,,54.03,42.12,41.15,137.3
,,59.98,45.38,44.8,150.16
,,50.14,46.89,54.4,151.43
,,54.52,56.94,55.51,166.97
,,53.98,48.38,47.51,149.87
,,59.05,50.79,49.94,159.78
,,53.38,53.71,47.52,154.61
,,49.34,38.15,44.38,131.87
,,44.83,40.26,50.03,135.12
,,48.04,48.46,42.81,139.31
,,54.93,44.26,48.84,148.03
,,51.31,42.67,48.43,142.41
,,47.08,41.11,44.35,132.54
,,55.73,55.23,48.09,159.05
,,33.29,32.09,30.26,95.64
,,44.44,50.17,38.85,133.46
,,48.86,54.62,51.39,154.87
,,42.33,36.81,38.01,117.15
,,54.98,40.51,56.42,151.91
,,40.47,40.51,37.64,118.62
,,53.85,42.31,42.01,138.17
,,50.07,47.36,50.46,147.89
,,50.44,49.65,53.46,153.55
,,42.54,42.46,36.38,121.38
